id,safe_type
03b02bac74c47950278871ac659898fc6d53610ae53d0ebd9d782c1502a7ca86,1.0
1d9dc44e8ea1f592ddfa47bab8dc12c9acf27b6aa925a2b5a028f44383f84a8a,1.0
083d421681bbe08fe404ff4244c39abbaf10e67709a7ce8b2331b05df13aa13b,1.0
36ebe01fad6d659de66b8ee6ad8188e2a0c2bf147dade81497d7b975c961a447,1.0
71ca50b086e655696d0be57e043e573c9f9699f5614f5970a5caba43814a1228,1.0
89961f407e328d83166dc79005b622f016f9ac5785b938f25a6685d0a88c9efa,1.0
b9555a57a06f9e907bfbd26b2d4e324bc02783e4d99da99496dcb3870c6b84a6,1.0
bdcd2e68000627350aac41d019d8ebc2fd6e0c7cee918b31febc6f6755e015d0,1.0
33cbf769d1acafcecc4f74c11474cfc923edbbea19466a8da5b5732b318139b4,1.0
9f832a24a226bc3b6da3d5d27a1a9b3c5759f0a6850ffdf4d04a185e8738244f,1.0
719ff6a4d6209a821de9ba327cfb1d33c30fd758de3cd547d5eddd4d3fecf28e,1.0
bb0108d3f4de1b4d8188782528f0012080a3b167eec9a4012e5ee3c0c364a35f,1.0
4a670f39ff3718b4fdbd762e69e52b3f3079ec061659a911bbc48a285a40985b,1.0
bea8b9e1960f3b7655f16d97dfe3bfaa205a3625e75419b39a072a7023fa89a5,1.0
2b7aaacf2d6e3a5d6e26b315a7d770842992ccd06e3d82ecd0a6a3c2c934d8d0,1.0
0fe9e2cae6aa441eeb1ef3545d5460c38a2f79076815cb0445b9780596289cf1,1.0
bf9d121bf69672d06fff590e71c80e5271a3f0355dbf89572f898de1c1fa32f7,1.0
635f1284018eb14c064f07fdb302f2facff930717a8862aa82650bc9d04f6438,1.0
967df24d7eef9e05f6b34ea338eda96a19ab85a60e93ca1faed5e1341a6377f0,1.0
6f60a149c46d3a6f446d9ef1517c9ff5ef0ff7d56bcf901489a5d54183b20bc7,1.0
16796abf729d406079ac61df01e8c8c9d301834cfb58d016de33870fc4ec83cf,1.0
bb6520450ad07ab6d0f3db2447d0ab2c2e73ef2ccbe56fecf1753e72a1f151d0,1.0
f351dd2ec3f066ab0896a8fe9d6e72833c46400520700e057e1fe3563612e767,1.0
c32fd85c0d55e316b9eb85869c282abbec02c713c7dc765fd46649b3411cfa55,1.0
67668947f3f53997b1ca9cb2647bbbbbbb3cc1b89b31f39f64f94c79a630b83e,1.0
90e1a369606385c1432524b3cd99072e5b7d9c41a9228eee2f59350ac4a71422,1.0
c35e2e9c2b953f8f5a6faf10b083b47b2eec68a0bedafd7a34d0efb22c560759,1.0
4aef6a287c76621ff8e0a24996e4e7eec61d3aae8ac5355bfa82b1d71ae09d0f,1.0
5256cfec17f800ea871e6ac793a35ec9a0f2ed5632532fb946f2bf4646fbded7,1.0
4747c2371de1d450420739992f4c5e30cad22c1900488d76adf7aae1ccdaaacb,1.0
e99087fcd1ac638f54753747418081b86b06d13c86b1359ec5278b0db5295c4b,1.0
d1d1ea92a33e7548645c404b603e1f28aecaceab13ea330678950acbb8e95f46,1.0
83d5e974b237fdcebc1305f0209364173378b360e9da0e36e9e05146645789ab,1.0
458152722cde9035463ebf1ab05ececc03275c04ae88673845eed34daee64e7b,1.0
a2791f8da64b98dbbee6aa312291df06624ff19d04697a6657fdddc7d55a378a,1.0
573acbee5cc8361b4d47abde7f940655f4abdd6662cf0a87c641adaa48262b25,1.0
98e6edd3582e5392370885b39d5c5c5ffda13a504561214624f26e7807a70429,1.0
7fe55560604d9fcb9c07c02bd67648cc64daaf6d0b94a0e3e440b3ed72e41290,1.0
4b9a43080d1f3f86186e54c4e8ce748e83d9d93dd8746e708b53a00df18c6034,1.0
c75ab67e377cee114ef613019e62dda3f7030ce963179235461eb8609eec745b,1.0
098ad2dd2abb9b383365fc26d9baf043723d3cabf678ce84c68c371f2359cac6,1.0
2527e8d6dd3b2aec2a53e5343052cd357d5360232ac1e310ebfd3fcd19ceeda9,1.0
a9b20c2d79aaf05e39c3c77769d571287de4b5531156b9ed5133f1e1fce1c11e,1.0
46dd76a7dce8ccedec55a1e526a13cb809dc16382e9ae669c559d1d6bcb07c49,1.0
bf7b569ff8ecd0c7dcbbf53c0352477d3d185838260016c1cdb9fb9d418ea309,1.0
0cb14c8570c40d4dc460eeffe50dfdc92f70219685099e46027d87d66071b3b2,1.0
059ba39d9def344cf6a3db4b2a0298134ada5dfb42fe1892a8fa60cb362914a4,1.0
ef799b3def58f9c5f149bff7e8d2518e00b806b0b6265a3485c68a48bc729004,1.0
5dc6238d7061f4f0409833e59a19323be3ae89b28d3fbd0132ca3908a5b08e57,1.0
80124601ade5f01be6cecc74750e52583eead1c8bab6d12673ba6fa8aed22e0b,1.0
ef1643cd362aae1e833fe702a322e5aa4f5e76e1a22ff68e1176d3c9decf8c06,1.0
4271705304afa6fa5b71148e1fbdc9628e1146bd0de8f65a8432dd4e8870da9b,1.0
92cad24f3833e5bdfdf7a6a1531a7298052a395c0806562adc330525afc305b6,1.0
69b568f07f1d20839945764d6b848cc49f3dbad0eb96bc3f778a8350a1390e9e,1.0
28d128e3664d7f4bf79d4ae9e5f628ebddd5ebbc39994dd63628f3a362644684,1.0
a58a81279722d9e761f21f0395bd088a5c53ac9c3affceacbc8a9e06170d6680,1.0
0f5ef9660d79f5bc37caecd71363ac43713cd11fd75d052288c48d2c8f2ab318,1.0
526182c89d8e4dac24a1410f49616eebb2221a5dff89a5eb86621159d44d60e6,1.0
718f29e1c007d2cdb78758a5a50e6df47a6146ca6495294fa88d15e254f029c5,1.0
28e3535b6a94b82dfb5b74650868c7f9dc19dc922a7181d21f0aaf3c9567aae8,1.0
b51c41032325a9dd5798d756a017f1f3f43b779962682ff0bd3ab02928ba15c8,1.0
14708a5e7547373c1a8f8c2501a2452e48fe3cfcb0c5fc8ec5608ebd642ae449,1.0
f8df13e88464c5af7a8e3f875e9b64a07e8b6864791b9c9972c911958b942451,1.0
ce5ebd09014745a2935dbc425df6b94c0645347e23c7a3333b26598d7f687fc6,1.0
35e529ef8ddd2a3d230dd4e4d1901515e9561093b55cf2927b9060c25d7aaad9,1.0
653f7def1c120a1999538cd305e3446612b49260eb4ff0058261050174b53e3a,1.0
8628e5be91d1e165d3ed6d1524be98f76985d9079ad3771a832c0bd0fbd37b08,1.0
4809aea7e7031fa656c6b692a33cb9f76e47705cf693b58e9c6ea7d63ad7b705,1.0
9979d8b19e793645f139d8287f83f0bf15cfcea4e4e45dab77926d0cfe12d1f2,1.0
2ee8cd5e7be6e2c8bdea20aa6443855cfe2d73fb0e6c40936930a227dde30059,1.0
5b87f0730cdb9f47e205e0cc81d573ca4857840bdaf65687d8e3631a2f44e123,1.0
ccc403009cbabb7fd66a10fa19c11c2f5af53f6076a90014c44c86bd114f6561,1.0
7615b1d246f5a97d9faab6acabc272c443d9c18ca1788af8460a9672db8cd23c,1.0
90e59804e7f5d6d86c05e34effde82e6670c48c17f677a007543aa962b69c527,1.0
45764e6d9498c17ff1e726f011b8feda2f84b8a5bea3d27b97bca5b011cfb5f3,1.0
d44b7fdecf28ee6a89f74bb11b93af138e3e6fc4625e868e7f4ff91f106e5286,1.0
8eaedca6e7ff84458f6a1d0f4196072f9ce3c6f8736c748e7be8b47bc8c5dca8,1.0
2512444b25dcdbbba0bd962ad2177fbb20c59e1a374f4ebf18fd5fe212b4cf5b,1.0
28535925b791fbf7110f991e970350867ad1e0f31b3dfbf89b96617eb55c2702,1.0
975ed7e260fd80c6f8595cd3a59d62cc9344968ef9f1769ddab8d8ab2db64bae,1.0
15603b1d5f22e7e99758cae852568541a602634426295aa92f23af6b9e2f117d,1.0
5742edf14c631efeb53f869da1ad4a30b67d4154ba1ce5a17633ec5287d7b030,1.0
6803ed319aeb900b8891eaf4f84e62445550440a576842455fb44500e9f3002d,1.0
